_time,_control,_left_pos,_right_pos,_left_vel,_right_vel
13.0,0.0,0.008726645,0.008726645,1.051657,1.050264
21.0,0.0,0.02185469,0.01749137,2.725374,2.180844
36.0,0.0,0.03940359,0.03942255,4.952069,4.95707
45.0,0.0,0.05253181,0.04816857,6.288719,5.765352
61.0,0.0,0.06567931,0.05695258,8.08422,7.010654
68.0,0.0,0.06137311,0.06133503,7.758004,7.753081
84.0,0.0,0.07009992,0.06571755,8.86629,8.321659
93.0,0.0,0.07884569,0.07446324,9.26833,8.751356
109.0,0.0,0.07452069,0.07450157,9.28948,9.303461
117.0,0.0,0.07886497,0.07450157,9.868051,9.313975
133.0,0.0,0.07890306,0.07884586,9.82116,9.81625
141.0,0.0,0.08324742,0.07888385,10.1361,9.608493
156.0,0.0,0.08761074,0.07884594,10.88246,9.788113
165.0,0.0,0.08764874,0.08324718,10.23413,9.730415
181.0,0.0,0.08761083,0.0788841,10.64615,9.58738
189.0,0.0,0.08764874,0.08324734,10.80432,10.25775
205.0,0.0,0.08764891,0.0788841,10.96864,9.879222
213.0,0.0,0.08764891,0.08324734,10.79229,10.24507
229.0,0.0,0.08762987,0.08324742,10.83383,10.29725
237.0,0.0,0.08764882,0.08326637,10.75903,10.21352
253.0,0.0,0.08764891,0.08324742,10.82308,10.2883
261.0,0.0,0.08764891,0.07890306,11.29371,10.15776
277.0,0.0,0.08764891,0.08326637,10.81771,10.2832
285.0,0.0,0.09201222,0.08326647,11.39249,10.30109
301.0,0.0,0.08328567,0.07890314,10.79609,10.2332
309.0,0.0,0.0919932,0.08324742,11.24706,10.17092
325.0,0.0,0.08764898,0.07892217,10.92196,9.835919
332.0,0.0,0.08764891,0.08324751,11.47488,10.89111
349.0,0.0,0.08766795,0.08326647,10.79363,10.26029
357.0,0.0,0.08328567,0.07890314,10.88682,10.30571
373.0,0.0,0.08766786,0.08326637,10.78429,10.25268
380.0,0.0,0.08764898,0.07890314,11.21101,10.07955
397.0,0.0,0.09201222,0.08328542,11.31791,10.24507
405.0,0.0,0.09203127,0.07890323,11.31232,9.690292
421.0,0.0,0.09199327,0.08326637,11.09319,10.044
428.0,0.0,0.08330454,0.07890314,10.83985,10.2586
445.0,0.0,0.08766786,0.08328542,10.87975,10.3435
453.0,0.0,0.09201231,0.08326654,11.15668,10.08677
469.0,0.0,0.08764898,0.08324742,10.7524,10.22234
476.0,0.0,0.08764891,0.07890306,11.37319,10.22787
493.0,0.0,0.09201222,0.08328542,11.28446,10.21478
501.0,0.0,0.08766795,0.07890323,11.12667,10.00762
516.0,0.0,0.08330462,0.07455876,10.95154,9.801334
525.0,0.0,0.09199327,0.08759178,11.22914,10.69049
541.0,0.0,0.08330471,0.07890323,10.71377,10.15776
549.0,0.0,0.09199327,0.08761074,11.09051,10.556
565.0,0.0,0.08764898,0.08324751,10.8419,10.30749
573.0,0.0,0.09201222,0.08326637,11.07442,10.01367
589.0,0.0,0.08764898,0.08326647,10.71675,10.18716
597.0,0.0,0.08764891,0.07890314,11.28348,10.14989
612.0,0.0,0.08330462,0.07892209,10.91693,10.34644
621.0,0.0,0.0963566,0.08761083,11.35341,10.31641
637.0,0.0,0.09199336,0.08324751,11.23602,10.17341
644.0,0.0,0.08330454,0.07890306,10.82286,10.24388
661.0,0.0,0.08766786,0.07892209,11.23265,10.1172
669.0,0.0,0.09201231,0.08761083,11.01452,10.48372
685.0,0.0,0.09201231,0.08324751,11.34172,10.26919
693.0,0.0,0.08330462,0.07890306,10.66004,10.0912
709.0,0.0,0.08332358,0.07892209,10.88253,10.31518
717.0,0.0,0.09199336,0.08761083,10.98283,10.45358
733.0,0.0,0.08764898,0.08761083,10.67088,10.67872
741.0,0.0,0.09201222,0.07892209,11.51273,9.860618
757.0,0.0,0.09199327,0.08326637,11.19621,10.1361
765.0,0.0,0.08766786,0.07890314,11.30102,10.16434
781.0,0.0,0.08766795,0.08328542,11.19518,10.64225
789.0,0.0,0.08764898,0.07890323,11.15084,10.03063
805.0,0.0,0.08766795,0.08762971,10.76566,10.77231
813.0,0.0,0.08764898,0.07892217,11.13945,10.01911
829.0,0.0,0.08764891,0.07890306,11.40887,10.27605
837.0,0.0,0.09201222,0.08761074,10.91091,10.38516
853.0,0.0,0.09201231,0.08326654,11.16483,10.10891
861.0,0.0,0.08766795,0.08326647,10.88518,10.33319
877.0,0.0,0.09201222,0.08326647,11.15939,10.10152
885.0,0.0,0.08766795,0.07890314,11.21533,10.08861
901.0,0.0,0.09201222,0.08762971,10.93956,10.4261
909.0,0.0,0.08766795,0.0832855,11.06881,10.5087
925.0,0.0,0.09201222,0.08761074,11.26088,10.72992
933.0,0.0,0.08766795,0.08328542,11.05198,10.49407
949.0,0.0,0.08330462,0.0788841,10.79609,10.23587
957.0,0.0,0.0963566,0.09197398,11.34804,10.82455
973.0,0.0,0.08763004,0.07888426,11.35691,10.22787
981.0,0.0,0.09201214,0.08324734,11.34734,10.26156
997.0,0.0,0.09201231,0.08762979,11.11742,10.59573
1005.0,0.0,0.08766795,0.07892217,11.13377,10.014
1021.0,0.0,0.09201222,0.08762971,10.90312,10.38887
1029.0,0.0,0.08766795,0.07892217,10.98797,9.884196
1045.0,0.0,0.09201222,0.08326637,11.22364,10.16219
1053.0,0.0,0.08766795,0.08326647,10.97415,10.41759
1073.0,0.0,0.08330462,0.1225554,10.75686,10.18278
1077.0,0.0,0.0963566,0.03980466,11.49618,9.65337
1092.0,0.0,0.08763004,0.08322755,11.02406,10.47815
1100.0,0.0,0.08764882,0.08326629,10.90286,10.35254
1117.0,0.0,0.09203127,0.07892217,11.549,9.901642
1124.0,0.0,0.08766803,0.08324751,11.15939,10.59736
1140.0,0.0,0.0919932,0.08326647,11.30953,10.22864
1148.0,0.0,0.08766786,0.07890314,11.02685,9.922909
1165.0,0.0,0.09637555,0.08762971,11.39249,10.35312
1173.0,0.0,0.08768699,0.07892217,10.97277,9.879222
1189.0,0.0,0.08766795,0.07892209,10.92333,9.839617
1197.0,0.0,0.08764898,0.08324751,10.94113,10.36678
1213.0,0.0,0.09201222,0.08326647,11.43514,10.35254
1220.0,0.0,0.08330462,0.07890314,10.86115,10.2653
1236.0,0.0,0.08766786,0.08326637,10.85134,10.31518
1244.0,0.0,0.08764898,0.08326647,10.93565,10.38106
1261.0,0.0,0.09203127,0.08761074,11.17436,10.64874
1269.0,0.0,0.09203135,0.08328542,11.33471,10.24761
