_time,_right_vel
10.0,0.9269859
20.0,1.850826
30.0,2.765097
40.0,3.680576
50.0,4.034137
60.0,4.128026
70.0,4.01262
80.0,5.46554
90.0,5.46098
100.0,5.767232
110.0,5.458703
120.0,5.448478
130.0,5.449613
140.0,5.746615
150.0,6.369815
160.0,5.425894
170.0,5.561409
180.0,5.607183
190.0,5.413552
200.0,6.296282
210.0,5.390146
220.0,6.49166
230.0,6.278162
240.0,6.25502
270.0,6.225696
300.0,6.445086
320.0,6.141201
371.0,6.144289
390.0,6.120894
400.0,6.043384
460.0,6.29758
470.0,6.095243
501.0,6.284622
510.0,6.083104
520.0,6.000444
590.0,5.196494
611.0,6.055365
621.0,6.248621
630.0,6.051765
650.0,5.427019
660.0,5.570199
670.0,5.565464
690.0,5.544248
710.0,5.518537
740.0,6.586148
770.0,6.371144
850.0,6.317117
890.0,5.383495
900.0,5.677186
920.0,6.244789
960.0,5.140578
970.0,5.325456
1010.0,6.161643
1040.0,5.063035
1050.0,5.247532
1120.0,6.02669
1140.0,5.394588
1220.0,5.202691
1230.0,5.202691
1340.0,5.859056
1350.0,5.550125
1360.0,5.657207
1400.0,5.481562
1410.0,5.604268
1420.0,5.763967
1440.0,6.388467
1450.0,6.38613
1490.0,6.336776
1550.0,5.386818
1560.0,5.377966
1570.0,5.362544
1580.0,5.664552
1620.0,5.645704
1641.0,6.200418
1710.0,5.263357
1750.0,6.107431
1760.0,6.033634
1770.0,6.10499
1790.0,5.227623
1871.0,6.074634
1910.0,5.196494
1970.0,6.404094
1970.0,6.404094
1990.0,5.569015
2020.0,5.543074
2050.0,6.421373
2060.0,5.784708
2090.0,5.600158
2120.0,5.450747
2140.0,5.741214
2170.0,5.422523
2260.0,5.531363
2280.0,6.170148
2290.0,6.221891
2380.0,6.323657
2410.0,6.112319
2430.0,5.234941
2440.0,5.022241
2450.0,5.228668
2470.0,6.092811
2481.0,6.014229
2491.0,6.087953
2501.0,6.284622
