_time,_left_vel
10.0,1.625376
20.0,2.505257
30.0,4.610443
40.0,4.832922
50.0,6.438293
60.0,5.778142
70.0,6.397834
80.0,7.284346
90.0,7.284346
100.0,7.397254
110.0,7.279788
120.0,8.169317
130.0,8.177824
140.0,7.365146
150.0,8.157438
160.0,8.133784
170.0,8.140528
180.0,8.183276
190.0,8.111941
200.0,8.985427
210.0,8.076904
220.0,8.947904
230.0,8.071923
240.0,8.033942
250.0,8.649586
260.0,9.224784
271.0,8.62007
280.0,8.226864
291.0,7.836428
300.0,8.263869
310.0,8.86494
340.0,8.184641
351.0,8.528172
360.0,9.124049
380.0,8.155745
390.0,8.717928
400.0,9.062984
410.0,8.733633
420.0,8.115294
430.0,8.726646
440.0,8.037436
450.0,8.716187
480.0,9.021343
490.0,8.697076
500.0,8.981727
511.0,9.557259
530.0,8.006098
540.0,8.065292
550.0,8.676324
560.0,7.982297
570.0,8.667706
581.0,8.047112
620.0,8.038876
642.0,8.484829
645.0,8.391006
650.0,8.533226
660.0,8.644048
670.0,8.351746
680.0,8.615601
690.0,8.318133
720.0,8.222342
740.0,8.456053
750.0,9.113039
760.0,9.097837
770.0,8.189762
780.0,8.445823
790.0,8.177824
800.0,8.160829
820.0,8.409199
830.0,8.142216
870.0,8.103572
900.0,9.254132
910.0,8.926602
920.0,8.256051
930.0,8.025732
940.0,8.277805
950.0,8.895663
960.0,8.217181
970.0,8.872149
980.0,8.234411
991.0,8.583075
1000.0,9.147428
1010.0,8.802346
1020.0,8.176121
1030.0,8.781089
1040.0,9.107121
1060.0,8.125369
1070.0,7.861843
1080.0,8.0467
1090.0,8.726646
1100.0,9.009546
1110.0,8.721413
1121.0,9.031717
1131.0,8.709228
1141.0,8.990981
1151.0,8.700544
1161.0,8.009771
1170.0,8.691878
1180.0,8.976185
1190.0,8.684958
1200.0,7.996927
1210.0,8.676324
1221.0,8.957756
1231.0,8.667706
1241.0,7.975002
1260.0,8.045464
1270.0,7.790103
1281.0,7.95501
1290.0,8.64538
1305.0,8.493087
1310.0,8.747641
1320.0,8.659296
1330.0,8.126883
1350.0,8.323422
1380.0,8.555535
1390.0,8.213744
1400.0,8.217181
1410.0,8.806707
1420.0,9.061083
1430.0,8.193179
1440.0,8.782536
1450.0,7.985584
1460.0,8.454232
1490.0,9.048783
1510.0,8.133784
1520.0,8.111941
1540.0,8.348194
1570.0,8.939404
1580.0,8.904741
1590.0,8.922951
1630.0,7.997945
1641.0,7.962268
1650.0,7.971967
1680.0,9.130413
1690.0,8.789933
1700.0,9.073244
1710.0,8.772262
1720.0,9.060892
1760.0,8.041139
1770.0,8.723157
1780.0,9.00211
1810.0,9.576327
1830.0,8.697076
1841.0,9.004794
1871.0,7.810244
1890.0,8.671151
1900.0,8.94857
1910.0,8.662543
1921.0,8.959596
1930.0,8.971877
1950.0,8.648807
1970.0,8.50136
1970.0,8.50136
1980.0,8.201735
1990.0,8.353522
2000.0,8.119321
2030.0,8.896488
2040.0,8.267349
2050.0,8.832638
2060.0,9.093701
2100.0,8.232685
2110.0,8.788968
2120.0,8.171017
2130.0,8.776112
2140.0,9.023604
2180.0,8.177142
2190.0,8.726646
2200.0,8.322982
2210.0,8.085219
2260.0,9.21699
2270.0,8.908377
2280.0,8.224926
2290.0,8.001204
2310.0,8.854146
2340.0,8.181231
2350.0,7.914129
2361.0,7.890277
2380.0,8.155745
2390.0,8.742382
2400.0,9.060892
2410.0,8.730138
2420.0,9.013268
2440.0,8.033736
2450.0,8.710966
2460.0,8.098557
2470.0,7.836741
2481.0,8.018971
2491.0,8.69881
2501.0,8.978031
