_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,0.0,0.8126883,0.0,0.004363323
21.0,1.670491,2.506217,0.01308997,0.02181661
31.0,2.765681,2.765097,0.03926991,0.04363323
41.0,3.222543,3.227907,0.06981317,0.07417649
51.0,3.679025,3.679025,0.1047198,0.1090831
61.0,3.179492,4.239323,0.1396263,0.148353
71.0,4.569881,4.569881,0.1832596,0.1876229
81.0,3.640653,4.554617,0.2225295,0.2312561
91.0,3.998647,3.997181,0.270526,0.2748893
101.0,5.648315,4.706929,0.3185226,0.3228859
111.0,5.457565,5.457565,0.3665192,0.3708825
121.0,5.442815,5.446211,0.4145157,0.418879
131.0,4.540399,4.540399,0.4625123,0.4668756
141.0,4.20967,5.263357,0.5105088,0.5192354
151.0,4.530969,5.436034,0.5628686,0.5715953
161.0,5.422523,4.520641,0.6152286,0.6195919
171.0,5.424769,5.422523,0.6675884,0.6719518
181.0,5.72722,5.72722,0.7199483,0.7243116
191.0,5.550293,5.55231,0.7723082,0.7766715
201.0,5.204345,5.211805,0.8203048,0.824668
211.0,5.383495,5.387928,0.8726646,0.8770279
221.0,5.693059,5.689877,0.9250245,0.9337512
231.0,5.381282,5.380177,0.973021,0.9817477
241.0,5.357057,6.252459,1.025381,1.038471
251.0,5.355961,5.355961,1.082104,1.090831
261.0,5.533701,5.533701,1.130101,1.143191
271.0,5.291015,5.292084,1.182461,1.195551
281.0,5.140578,5.144215,1.23482,1.24791
291.0,5.33631,5.33631,1.28718,1.30027
301.0,5.510406,5.511566,1.33954,1.35263
311.0,4.430669,6.201678,1.387537,1.40499
321.0,5.309256,5.312488,1.44426,1.45735
331.0,4.409178,5.289945,1.492257,1.50971
341.0,4.545128,5.454154,1.544616,1.56207
352.0,5.276086,5.27396,1.60134,1.618793
361.0,6.082699,6.084113,1.653699,1.671153
371.0,4.390544,5.266534,1.701696,1.723513
381.0,4.530969,5.439422,1.754056,1.775872
391.0,5.229712,5.24648,1.806416,1.828232
401.0,5.034991,5.038479,1.858776,1.880592
411.0,5.24018,5.24018,1.911136,1.932952
421.0,5.409078,5.409078,1.963495,1.985312
431.0,5.235988,5.235988,2.015855,2.037672
441.0,5.022241,5.025712,2.068215,2.090032
451.0,5.229712,5.229712,2.120575,2.142392
461.0,5.400152,5.399039,2.172935,2.194752
471.0,5.225536,5.225536,2.225295,2.247111
481.0,5.009556,6.014229,2.277655,2.303835
491.0,5.221368,5.220327,2.330014,2.356194
501.0,5.389036,5.389036,2.382375,2.408554
511.0,5.215127,5.216166,2.434734,2.460914
522.0,5.000371,5.003811,2.487094,2.513274
532.0,5.208901,5.207865,2.539454,2.565634
541.0,5.187022,5.187022,2.587451,2.617994
