_time,_left_pos,_right_pos,_left_vel,_right_vel,_obsv_time,_obsv_left_vel,_obsv_right_vel,_obsv_s,_obsv_yaw
23957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23981.0,14.0,13.0,603.0,561.0,0.0,0.0,0.0,0.0,0.0
23997.0,33.0,31.0,1133.0,1073.0,24001.0,228.0,228.0,4.0,0.0
24022.0,68.0,66.0,1427.0,1427.0,24006.0,229.0,229.0,4.0,0.0
24039.0,96.0,93.0,1669.0,1610.0,24042.0,227.0,227.0,14.0,0.0
24057.0,129.0,125.0,1758.0,1705.0,24047.0,229.0,229.0,14.0,0.0
24078.0,167.0,161.0,1885.0,1785.0,24064.0,228.0,228.0,19.0,0.0
24098.0,205.0,199.0,1875.0,1875.0,24083.0,228.0,228.0,25.0,0.0
24118.0,247.0,238.0,2088.0,1939.0,24104.0,228.0,228.0,30.0,0.0
24138.0,290.0,280.0,2165.0,2114.0,24123.0,228.0,228.0,37.0,0.0
24158.0,336.0,325.0,2285.0,2236.0,24144.0,228.0,228.0,43.0,0.0
24179.0,386.0,373.0,2388.0,2292.0,24163.0,228.0,228.0,50.0,0.0
24199.0,434.0,420.0,2384.0,2334.0,24185.0,228.0,228.0,57.0,0.0
24220.0,484.0,469.0,2388.0,2340.0,24204.0,228.0,228.0,65.0,0.0
24240.0,534.0,518.0,2484.0,2435.0,24226.0,227.0,227.0,72.0,0.0
24261.0,586.0,569.0,2484.0,2437.0,0.0,0.0,0.0,0.0,0.0
24278.0,628.0,610.0,2507.0,2447.0,24281.0,227.0,227.0,94.0,0.0
24302.0,689.0,669.0,2509.0,2427.0,24286.0,229.0,229.0,94.0,0.0
24319.0,731.0,710.0,2504.0,2444.0,24322.0,226.0,226.0,110.0,0.0
24338.0,778.0,756.0,2499.0,2446.0,24328.0,229.0,229.0,110.0,0.0
24358.0,829.0,806.0,2530.0,2480.0,24344.0,228.0,228.0,117.0,0.0
24378.0,879.0,854.0,2525.0,2424.0,24363.0,227.0,227.0,124.0,0.0
24398.0,929.0,903.0,2486.0,2436.0,24384.0,228.0,228.0,132.0,0.0
24419.0,981.0,955.0,2483.0,2483.0,24403.0,227.0,227.0,139.0,0.0
24439.0,1032.0,1003.0,2534.0,2385.0,24425.0,227.0,227.0,147.0,0.0
24460.0,1084.0,1054.0,2484.0,2436.0,24444.0,227.0,227.0,155.0,0.0
24480.0,1133.0,1103.0,2433.0,2434.0,24466.0,227.0,227.0,163.0,0.0
24501.0,1185.0,1154.0,2484.0,2436.0,24485.0,227.0,227.0,170.0,0.0
24517.0,1226.0,1195.0,2447.0,2447.0,24521.0,227.0,227.0,184.0,0.0
24542.0,1286.0,1255.0,2466.0,2466.0,24526.0,228.0,228.0,184.0,0.0
24559.0,1328.0,1295.0,2504.0,2385.0,24562.0,226.0,226.0,200.0,0.0
24583.0,1389.0,1355.0,2492.0,2452.0,24567.0,228.0,228.0,200.0,0.0
24600.0,1431.0,1396.0,2504.0,2444.0,24603.0,226.0,226.0,215.0,0.0
24617.0,1475.0,1440.0,2487.0,2487.0,24609.0,228.0,228.0,215.0,0.0
24638.0,1526.0,1489.0,2530.0,2431.0,24624.0,228.0,228.0,222.0,0.0
24659.0,1579.0,1541.0,2531.0,2483.0,24643.0,227.0,227.0,230.0,0.0
24679.0,1630.0,1590.0,2535.0,2436.0,24665.0,227.0,227.0,238.0,0.0
24700.0,1683.0,1642.0,2532.0,2484.0,24684.0,227.0,227.0,245.0,0.0
24720.0,1734.0,1692.0,2534.0,2485.0,24706.0,227.0,227.0,253.0,0.0
24741.0,1788.0,1743.0,2580.0,2436.0,24725.0,227.0,227.0,261.0,0.0
24757.0,1830.0,1784.0,2506.0,2447.0,24761.0,227.0,227.0,275.0,0.0
24782.0,1892.0,1844.0,2546.0,2464.0,24766.0,228.0,228.0,275.0,0.0
24798.0,1935.0,1886.0,2564.0,2504.0,24802.0,226.0,226.0,291.0,0.0
24823.0,1997.0,1946.0,2533.0,2452.0,24807.0,228.0,228.0,291.0,0.0
24840.0,2040.0,1987.0,2564.0,2444.0,24843.0,226.0,226.0,307.0,0.0
24857.0,2085.0,2031.0,2544.0,2487.0,24849.0,228.0,228.0,307.0,0.0
24878.0,2136.0,2080.0,2530.0,2430.0,24864.0,228.0,228.0,314.0,0.0
24898.0,2189.0,2131.0,2536.0,2440.0,24883.0,227.0,227.0,321.0,0.0
24919.0,2240.0,2179.0,2535.0,2386.0,24905.0,227.0,227.0,329.0,0.0
24939.0,2293.0,2231.0,2536.0,2488.0,24924.0,227.0,227.0,337.0,0.0
24960.0,2344.0,2280.0,2534.0,2435.0,24946.0,227.0,227.0,345.0,0.0
24980.0,2396.0,2331.0,2488.0,2440.0,24965.0,227.0,227.0,353.0,0.0
