_time,_left_pos,_right_pos,_left_vel,_right_vel,_obsv_time,_obsv_left_vel,_obsv_right_vel,_obsv_s,_obsv_yaw
1623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1643.0,12.0,-12.0,598.0,-598.0,0.0,0.0,0.0,0.0,0.0
1670.0,51.0,-55.0,1437.0,-1584.0,1649.0,12.0,-12.0,0.0,0.0
1684.0,76.0,-81.0,1812.0,-1883.0,1676.0,12.0,-12.0,0.0,-1.0
1703.0,116.0,-123.0,2075.0,-2180.0,1690.0,12.0,-12.0,0.0,-1.0
1729.0,183.0,-188.0,2585.0,-2508.0,1708.0,12.0,-12.0,0.0,-2.0
1744.0,223.0,-228.0,2705.0,-2703.0,1736.0,12.0,-12.0,0.0,-3.0
1763.0,276.0,-283.0,2771.0,-2878.0,0.0,0.0,0.0,0.0,0.0
1790.0,355.0,-364.0,2922.0,-2995.0,1769.0,12.0,-12.0,0.0,-5.0
1804.0,396.0,-406.0,2964.0,-3035.0,1795.0,12.0,-12.0,0.0,-7.0
1823.0,455.0,-467.0,3055.0,-3160.0,1810.0,12.0,-12.0,0.0,-8.0
1849.0,535.0,-549.0,3087.0,-3164.0,1828.0,12.0,-12.0,0.0,-9.0
1864.0,581.0,-597.0,3112.0,-3245.0,1856.0,12.0,-12.0,-1.0,-11.0
1883.0,640.0,-658.0,3092.0,-3199.0,1869.0,12.0,-12.0,-1.0,-12.0
1910.0,726.0,-746.0,3180.0,-3254.0,1889.0,12.0,-12.0,-1.0,-13.0
1924.0,770.0,-791.0,3184.0,-3256.0,1915.0,12.0,-12.0,-1.0,-15.0
1943.0,831.0,-854.0,3157.0,-3262.0,1930.0,12.0,-12.0,-1.0,-16.0
1969.0,913.0,-939.0,3169.0,-3284.0,1948.0,12.0,-12.0,-1.0,-17.0
1984.0,960.0,-987.0,3176.0,-3242.0,1975.0,12.0,-12.0,-1.0,-19.0
2003.0,1021.0,-1049.0,3196.0,-3251.0,1989.0,12.0,-12.0,-2.0,-20.0
2030.0,1108.0,-1137.0,3216.0,-3252.0,2009.0,12.0,-12.0,-2.0,-22.0
2044.0,1152.0,-1181.0,3198.0,-3196.0,2035.0,12.0,-12.0,-2.0,-23.0
2063.0,1214.0,-1244.0,3208.0,-3261.0,2050.0,12.0,-12.0,-2.0,-24.0
2089.0,1298.0,-1328.0,3244.0,-3244.0,2068.0,12.0,-12.0,-2.0,-26.0
2104.0,1345.0,-1375.0,3177.0,-3174.0,2095.0,12.0,-12.0,-2.0,-27.0
2123.0,1406.0,-1437.0,3192.0,-3247.0,2109.0,12.0,-12.0,-2.0,-28.0
2150.0,1493.0,-1524.0,3215.0,-3215.0,2129.0,12.0,-12.0,-2.0,-30.0
2164.0,1537.0,-1568.0,3197.0,-3196.0,2155.0,12.0,-12.0,-2.0,-32.0
2183.0,1598.0,-1631.0,3161.0,-3266.0,2170.0,12.0,-12.0,-2.0,-33.0
2209.0,1681.0,-1715.0,3205.0,-3244.0,2188.0,12.0,-12.0,-2.0,-34.0
2224.0,1728.0,-1763.0,3169.0,-3234.0,2215.0,12.0,-12.0,-2.0,-36.0
2243.0,1790.0,-1825.0,3245.0,-3248.0,2229.0,12.0,-12.0,-2.0,-37.0
2270.0,1877.0,-1914.0,3214.0,-3287.0,2249.0,12.0,-12.0,-2.0,-38.0
2284.0,1922.0,-1959.0,3265.0,-3264.0,2275.0,12.0,-12.0,-2.0,-40.0
2303.0,1984.0,-2023.0,3215.0,-3320.0,2290.0,12.0,-12.0,-2.0,-41.0
2329.0,2068.0,-2108.0,3244.0,-3282.0,2308.0,12.0,-12.0,-2.0,-42.0
2344.0,2116.0,-2157.0,3243.0,-3308.0,2335.0,12.0,-12.0,-3.0,-44.0
2363.0,2178.0,-2220.0,3245.0,-3300.0,2349.0,12.0,-12.0,-3.0,-45.0
2390.0,2266.0,-2308.0,3254.0,-3254.0,2369.0,12.0,-12.0,-3.0,-46.0
2404.0,2310.0,-2354.0,3193.0,-3337.0,2395.0,12.0,-12.0,-3.0,-48.0
2423.0,2372.0,-2417.0,3219.0,-3272.0,2410.0,12.0,-12.0,-3.0,-49.0
2449.0,2456.0,-2502.0,3244.0,-3282.0,2428.0,12.0,-12.0,-3.0,-51.0
2464.0,2504.0,-2551.0,3246.0,-3311.0,2455.0,12.0,-12.0,-3.0,-52.0
2483.0,2565.0,-2613.0,3191.0,-3245.0,2469.0,12.0,-12.0,-3.0,-53.0
2510.0,2653.0,-2701.0,3256.0,-3256.0,2489.0,12.0,-12.0,-3.0,-55.0
2524.0,2698.0,-2745.0,3266.0,-3192.0,2515.0,12.0,-12.0,-3.0,-57.0
2543.0,2760.0,-2808.0,3214.0,-3267.0,2530.0,12.0,-12.0,-3.0,-58.0
2569.0,2843.0,-2892.0,3201.0,-3240.0,2548.0,12.0,-12.0,-3.0,-59.0
2584.0,2890.0,-2940.0,3176.0,-3241.0,2575.0,12.0,-12.0,-3.0,-61.0
2604.0,2954.0,-3005.0,3204.0,-3257.0,2589.0,12.0,-12.0,-3.0,-62.0
2631.0,3041.0,-3093.0,3221.0,-3258.0,2610.0,12.0,-12.0,-3.0,-63.0
2644.0,3086.0,-3138.0,3263.0,-3262.0,2636.0,12.0,-12.0,-3.0,-65.0
2663.0,3145.0,-3199.0,3198.0,-3308.0,2650.0,12.0,-12.0,-3.0,-66.0
2689.0,3229.0,-3284.0,3242.0,-3281.0,2668.0,12.0,-12.0,-4.0,-67.0
2703.0,3277.0,-3332.0,3248.0,-3245.0,2695.0,12.0,-12.0,-4.0,-69.0
2723.0,3341.0,-3398.0,3209.0,-3312.0,2709.0,12.0,-12.0,-4.0,-70.0
2750.0,3429.0,-3488.0,3256.0,-3330.0,2730.0,12.0,-12.0,-4.0,-71.0
2764.0,3474.0,-3533.0,3271.0,-3269.0,2756.0,12.0,-12.0,-4.0,-73.0
2783.0,3536.0,-3597.0,3208.0,-3313.0,2770.0,12.0,-12.0,-4.0,-74.0
