_time,_left_pos,_right_pos,_left_vel,_right_vel,_obsv_time,_obsv_sL,_obsv_sR,_obsv_psi,_obsv_psi_dot
50584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50604.0,10.0,-8.0,485.0,-388.0,0.0,0.0,0.0,0.0,0.0
50632.0,41.0,-34.0,1123.0,-942.0,50649.0,0.038,0.032,-0.044,-0.004
50644.0,56.0,-48.0,1258.0,-1175.0,50691.0,0.158,0.122,-0.254,-0.004
50663.0,85.0,-78.0,1471.0,-1522.0,50729.0,0.182,0.098,-0.601,-0.004
50687.0,127.0,-119.0,1765.0,-1722.0,50769.0,0.206,0.074,-0.938,-0.004
50703.0,157.0,-150.0,1857.0,-1919.0,50811.0,0.286,0.099,-1.331,-0.004
50724.0,196.0,-188.0,1912.0,-1863.0,50847.0,0.317,0.068,-1.771,-0.004
50751.0,251.0,-240.0,2059.0,-1947.0,50889.0,0.361,0.059,-2.145,-0.004
50764.0,278.0,-267.0,1993.0,-1994.0,50931.0,0.39,0.03,-2.555,-0.004
50784.0,319.0,-307.0,2091.0,-2040.0,50969.0,0.37,-0.055,-3.012,-0.004
50807.0,368.0,-357.0,2058.0,-2099.0,51009.0,0.396,-0.081,-3.379,-0.004
50824.0,402.0,-391.0,2093.0,-2094.0,51051.0,0.425,-0.11,-3.789,-0.004
50844.0,445.0,-433.0,2107.0,-2058.0,51089.0,0.456,-0.141,-4.234,-0.004
50872.0,504.0,-492.0,2138.0,-2138.0,51129.0,0.483,-0.168,-4.61,-0.004
50884.0,529.0,-517.0,2095.0,-2095.0,51171.0,0.529,-0.179,-5.023,-0.004
50904.0,572.0,-561.0,2088.0,-2137.0,51209.0,0.56,-0.21,-5.467,-0.004
50928.0,621.0,-612.0,2056.0,-2139.0,51247.0,0.605,-0.22,-5.846,-0.004
50944.0,655.0,-646.0,2108.0,-2108.0,51290.0,0.669,-0.214,-6.261,-0.004
50964.0,696.0,-687.0,2102.0,-2102.0,51328.0,0.753,-0.193,-6.704,-0.004
50990.0,752.0,-743.0,2100.0,-2099.0,51369.0,0.815,-0.185,-7.094,-0.004
51004.0,780.0,-771.0,2065.0,-2066.0,51411.0,0.897,-0.162,-7.512,-0.004
51023.0,821.0,-812.0,2095.0,-2095.0,51449.0,0.964,-0.159,-7.972,-0.004
51047.0,871.0,-862.0,2101.0,-2100.0,51489.0,1.027,-0.152,-8.358,-0.004
51063.0,905.0,-896.0,2098.0,-2099.0,51531.0,1.074,-0.164,-8.78,-0.004
51084.0,948.0,-939.0,2111.0,-2111.0,51569.0,1.124,-0.179,-9.237,-0.004
