_time,_left_pos,_right_pos,_left_vel,_right_vel,_obsv_time,_obsv_left_vel,_obsv_right_vel,_obsv_s,_obsv_yaw
18483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18503.0,11.0,8.0,567.0,412.0,0.0,0.0,0.0,0.0,0.0
18529.0,50.0,31.0,1503.0,886.0,18508.0,246.0,241.0,1.0,0.0
18544.0,77.0,46.0,1823.0,1013.0,18535.0,246.0,241.0,6.0,0.0
18563.0,116.0,67.0,2046.0,1102.0,18549.0,246.0,241.0,9.0,0.0
18590.0,178.0,100.0,2295.0,1221.0,18569.0,246.0,241.0,13.0,0.0
18603.0,211.0,118.0,2401.0,1309.0,18595.0,246.0,240.0,21.0,0.0
18623.0,260.0,145.0,2550.0,1405.0,18610.0,246.0,241.0,25.0,0.0
18649.0,332.0,185.0,2781.0,1545.0,18628.0,246.0,241.0,30.0,-1.0
18663.0,374.0,209.0,2837.0,1621.0,18655.0,245.0,240.0,39.0,-1.0
18683.0,432.0,242.0,2908.0,1654.0,18668.0,246.0,241.0,44.0,-1.0
18710.0,513.0,289.0,2997.0,1739.0,18689.0,246.0,240.0,51.0,-2.0
18724.0,555.0,313.0,3054.0,1745.0,18715.0,245.0,240.0,61.0,-2.0
18743.0,614.0,347.0,3064.0,1766.0,18730.0,246.0,241.0,66.0,-2.0
18769.0,696.0,393.0,3169.0,1778.0,18748.0,246.0,240.0,73.0,-2.0
18784.0,742.0,420.0,3099.0,1818.0,18775.0,245.0,240.0,83.0,-3.0
18803.0,802.0,455.0,3148.0,1836.0,18789.0,246.0,241.0,88.0,-3.0
18830.0,889.0,504.0,3220.0,1813.0,18809.0,246.0,240.0,95.0,-3.0
18844.0,933.0,529.0,3206.0,1821.0,18835.0,245.0,240.0,106.0,-4.0
18863.0,994.0,564.0,3174.0,1821.0,18850.0,246.0,241.0,111.0,-4.0
18889.0,1078.0,613.0,3246.0,1893.0,18868.0,246.0,240.0,118.0,-4.0
18904.0,1127.0,641.0,3306.0,1889.0,18895.0,245.0,240.0,129.0,-4.0
18923.0,1188.0,676.0,3198.0,1835.0,18909.0,246.0,241.0,135.0,-5.0
18950.0,1277.0,727.0,3289.0,1884.0,18929.0,246.0,240.0,142.0,-5.0
18964.0,1322.0,752.0,3267.0,1815.0,18955.0,245.0,240.0,153.0,-5.0
18983.0,1384.0,788.0,3228.0,1874.0,18970.0,246.0,241.0,158.0,-6.0
19009.0,1469.0,837.0,3283.0,1892.0,18988.0,246.0,240.0,165.0,-6.0
19023.0,1517.0,864.0,3242.0,1823.0,19015.0,245.0,240.0,176.0,-6.0
19043.0,1582.0,902.0,3258.0,1905.0,19029.0,246.0,241.0,181.0,-6.0
19070.0,1669.0,952.0,3220.0,1850.0,19050.0,246.0,240.0,189.0,-7.0
19084.0,1713.0,978.0,3206.0,1894.0,19076.0,245.0,240.0,200.0,-7.0
19103.0,1775.0,1013.0,3217.0,1816.0,19090.0,246.0,241.0,205.0,-7.0
19129.0,1858.0,1061.0,3206.0,1854.0,19109.0,246.0,240.0,212.0,-8.0
19144.0,1907.0,1089.0,3305.0,1888.0,19136.0,245.0,240.0,222.0,-8.0
19163.0,1968.0,1125.0,3201.0,1889.0,19149.0,246.0,241.0,228.0,-8.0
19190.0,2056.0,1175.0,3254.0,1848.0,19169.0,246.0,240.0,236.0,-8.0
19204.0,2100.0,1202.0,3206.0,1967.0,19195.0,245.0,240.0,246.0,-9.0
19223.0,2163.0,1238.0,3274.0,1871.0,19210.0,246.0,241.0,252.0,-9.0
19249.0,2248.0,1286.0,3288.0,1857.0,19228.0,246.0,240.0,259.0,-9.0
19264.0,2296.0,1314.0,3246.0,1893.0,19255.0,245.0,240.0,269.0,-10.0
19283.0,2358.0,1350.0,3251.0,1888.0,19269.0,246.0,241.0,275.0,-10.0
19310.0,2446.0,1401.0,3259.0,1888.0,19289.0,246.0,240.0,283.0,-10.0
19324.0,2491.0,1427.0,3279.0,1894.0,19315.0,245.0,240.0,293.0,-11.0
19343.0,2553.0,1462.0,3226.0,1821.0,19330.0,246.0,241.0,299.0,-11.0
19369.0,2638.0,1511.0,3284.0,1893.0,19348.0,246.0,240.0,306.0,-11.0
19384.0,2686.0,1538.0,3239.0,1822.0,19375.0,245.0,240.0,316.0,-12.0
19403.0,2751.0,1575.0,3255.0,1853.0,19389.0,246.0,241.0,322.0,-12.0
19430.0,2840.0,1626.0,3297.0,1889.0,19410.0,246.0,240.0,330.0,-12.0
19444.0,2884.0,1651.0,3192.0,1813.0,19436.0,245.0,240.0,341.0,-12.0
19463.0,2947.0,1686.0,3275.0,1820.0,19450.0,246.0,241.0,346.0,-13.0
19489.0,3031.0,1734.0,3244.0,1854.0,19469.0,246.0,240.0,353.0,-13.0
19504.0,3078.0,1761.0,3178.0,1825.0,19496.0,245.0,240.0,363.0,-13.0
19523.0,3140.0,1796.0,3254.0,1837.0,19509.0,246.0,241.0,369.0,-14.0
19550.0,3227.0,1846.0,3217.0,1849.0,19529.0,246.0,240.0,376.0,-14.0
19564.0,3271.0,1871.0,3201.0,1819.0,19555.0,245.0,240.0,387.0,-14.0
19583.0,3333.0,1906.0,3222.0,1819.0,19570.0,246.0,241.0,392.0,-14.0
19609.0,3417.0,1953.0,3249.0,1817.0,19588.0,246.0,240.0,400.0,-15.0
19624.0,3465.0,1979.0,3248.0,1759.0,19615.0,245.0,240.0,410.0,-15.0
19643.0,3526.0,2015.0,3201.0,1889.0,19629.0,246.0,241.0,415.0,-15.0
19670.0,3614.0,2064.0,3256.0,1813.0,19649.0,246.0,240.0,423.0,-16.0
19684.0,3659.0,2089.0,3278.0,1821.0,19675.0,245.0,240.0,433.0,-16.0
19703.0,3722.0,2124.0,3275.0,1820.0,19690.0,246.0,241.0,438.0,-16.0
19729.0,3807.0,2172.0,3285.0,1855.0,19708.0,246.0,240.0,446.0,-17.0
19744.0,3855.0,2200.0,3238.0,1888.0,19735.0,245.0,240.0,456.0,-17.0
19763.0,3917.0,2235.0,3254.0,1837.0,19749.0,246.0,241.0,462.0,-17.0
19790.0,4006.0,2286.0,3294.0,1887.0,19769.0,246.0,240.0,469.0,-17.0
19803.0,4052.0,2311.0,3337.0,1813.0,19795.0,245.0,240.0,480.0,-18.0
19823.0,4116.0,2347.0,3330.0,1873.0,19810.0,246.0,241.0,485.0,-18.0
19849.0,4201.0,2396.0,3279.0,1890.0,19828.0,246.0,240.0,493.0,-18.0
19863.0,4250.0,2423.0,3309.0,1823.0,19855.0,245.0,240.0,503.0,-19.0
19883.0,4316.0,2460.0,3305.0,1853.0,19868.0,246.0,241.0,509.0,-19.0
19910.0,4406.0,2511.0,3330.0,1887.0,19890.0,246.0,240.0,517.0,-19.0
19924.0,4452.0,2536.0,3340.0,1815.0,19916.0,245.0,240.0,528.0,-20.0
19943.0,4515.0,2572.0,3276.0,1872.0,19930.0,246.0,241.0,533.0,-20.0
19969.0,4600.0,2622.0,3282.0,1930.0,19948.0,246.0,240.0,541.0,-20.0
19984.0,4649.0,2649.0,3305.0,1821.0,19975.0,245.0,240.0,551.0,-21.0
20003.0,4711.0,2685.0,3253.0,1889.0,19989.0,246.0,241.0,557.0,-21.0
20030.0,4800.0,2735.0,3293.0,1850.0,20009.0,246.0,240.0,564.0,-21.0
20044.0,4845.0,2760.0,3278.0,1821.0,20035.0,245.0,240.0,575.0,-22.0
20063.0,4908.0,2796.0,3270.0,1869.0,20050.0,246.0,241.0,580.0,-22.0
20089.0,4992.0,2845.0,3246.0,1893.0,20068.0,246.0,240.0,588.0,-22.0
20104.0,5041.0,2873.0,3319.0,1896.0,20095.0,245.0,240.0,598.0,-22.0
20123.0,5103.0,2909.0,3250.0,1887.0,20109.0,246.0,241.0,604.0,-23.0
20150.0,5192.0,2960.0,3294.0,1887.0,20129.0,246.0,240.0,611.0,-23.0
20164.0,5237.0,2986.0,3273.0,1891.0,20155.0,245.0,240.0,622.0,-23.0
20183.0,5300.0,3022.0,3274.0,1871.0,20170.0,246.0,241.0,627.0,-23.0
20209.0,5386.0,3071.0,3324.0,1894.0,20188.0,246.0,240.0,635.0,-24.0
20224.0,5435.0,3098.0,3318.0,1828.0,20215.0,245.0,240.0,645.0,-24.0
20243.0,5500.0,3136.0,3263.0,1908.0,20229.0,246.0,241.0,651.0,-24.0
20270.0,5589.0,3186.0,3296.0,1851.0,20250.0,245.0,240.0,659.0,-25.0
20284.0,5635.0,3212.0,3352.0,1894.0,20276.0,245.0,240.0,670.0,-25.0
20303.0,5698.0,3248.0,3272.0,1870.0,20290.0,246.0,241.0,675.0,-25.0
20329.0,5784.0,3296.0,3326.0,1856.0,20308.0,246.0,240.0,683.0,-26.0
20344.0,5832.0,3323.0,3247.0,1826.0,20335.0,245.0,240.0,693.0,-26.0
20363.0,5894.0,3359.0,3256.0,1891.0,20349.0,246.0,241.0,699.0,-26.0
20390.0,5983.0,3409.0,3293.0,1850.0,20369.0,246.0,240.0,706.0,-27.0
20404.0,6028.0,3434.0,3278.0,1821.0,20395.0,245.0,240.0,717.0,-27.0
20423.0,6090.0,3470.0,3224.0,1872.0,20410.0,246.0,241.0,722.0,-27.0
20449.0,6175.0,3517.0,3286.0,1816.0,20428.0,246.0,240.0,729.0,-27.0
20464.0,6223.0,3544.0,3239.0,1822.0,20455.0,245.0,240.0,740.0,-28.0
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
0.0,0.0,0.0,0.0,0.0,,,,,
