_time,_left_vel,_right_vel,_left_pos,_right_pos
11.0,217.0,217.0,2.0,1.0
21.0,677.0,451.0,7.0,6.0
31.0,1085.0,868.0,16.0,15.0
41.0,1084.0,1084.0,27.0,25.0
50.0,1300.0,1299.0,39.0,37.0
61.0,1350.0,1350.0,53.0,50.0
71.0,1515.0,1298.0,69.0,64.0
81.0,1723.0,1504.0,86.0,80.0
91.0,1724.0,1509.0,102.0,94.0
101.0,1790.0,1344.0,119.0,110.0
111.0,1694.0,1694.0,137.0,128.0
121.0,1756.0,1756.0,155.0,144.0
131.0,1881.0,1694.0,174.0,161.0
141.0,1886.0,1887.0,193.0,179.0
151.0,1932.0,1718.0,211.0,195.0
161.0,1717.0,1718.0,230.0,213.0
171.0,1932.0,1717.0,249.0,230.0
181.0,2007.0,1782.0,269.0,249.0
191.0,1875.0,1688.0,288.0,266.0
201.0,1997.0,1745.0,307.0,284.0
211.0,1872.0,1686.0,327.0,302.0
221.0,1930.0,1930.0,346.0,320.0
231.0,2058.0,1684.0,366.0,338.0
241.0,1990.0,1742.0,385.0,356.0
251.0,1869.0,1683.0,405.0,374.0
261.0,1926.0,1928.0,424.0,392.0
271.0,1920.0,1707.0,444.0,410.0
281.0,1986.0,1739.0,463.0,428.0
291.0,1868.0,1682.0,483.0,446.0
301.0,1926.0,1926.0,502.0,464.0
311.0,1706.0,1706.0,522.0,482.0
321.0,1916.0,1704.0,543.0,501.0
331.0,2053.0,1680.0,562.0,518.0
341.0,1923.0,1710.0,581.0,536.0
351.0,2128.0,1916.0,602.0,555.0
361.0,1981.0,1983.0,621.0,573.0
371.0,2050.0,1678.0,641.0,591.0
381.0,1921.0,1708.0,660.0,609.0
391.0,1861.0,1861.0,680.0,628.0
401.0,1977.0,1731.0,700.0,645.0
411.0,1861.0,1862.0,720.0,664.0
421.0,1917.0,1918.0,739.0,682.0
431.0,2046.0,1861.0,760.0,701.0
441.0,1920.0,1920.0,779.0,719.0
451.0,1908.0,1908.0,798.0,737.0
461.0,1863.0,2051.0,818.0,756.0
471.0,2118.0,1695.0,838.0,773.0
481.0,1905.0,1905.0,858.0,793.0
491.0,2118.0,1695.0,878.0,810.0
501.0,2124.0,1700.0,897.0,828.0
511.0,2041.0,1856.0,917.0,847.0
521.0,2106.0,1722.0,937.0,865.0
531.0,1901.0,1903.0,956.0,883.0
541.0,2044.0,1859.0,977.0,902.0
551.0,2112.0,1902.0,996.0,920.0
561.0,1897.0,1897.0,1016.0,940.0
571.0,2035.0,1851.0,1036.0,958.0
581.0,1901.0,1901.0,1055.0,976.0
591.0,2031.0,1847.0,1076.0,995.0
601.0,1904.0,1905.0,1095.0,1013.0
